"","station_year","fox","cat","potoroo_ln","bandicoot_sb","station","date_end","date_start","year","latitude","longitude","region","data_source","survey_duration","block","X_EVCNAME","XGROUPNAME","evc_mod","EFG_NAME","efg_mod","tsf","wetness","ruggedness","elevation","npp","bio1_temperature","bio12_rainfall","bio32_moisture","dist_nnv","dist_farmland","dist_plantation","foxbaits","treatment","rainfall_actual_prior_18months","rainfall_median_prior_18months","rain_diff_percent"
"1","A001_2018",0,1,0,0,"A001","2018-04-12","2018-01-30",2018,-37.988611,141.56355,"glenelg","matt",72,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,7.20876932144165,0.0708599090576172,138.752807617188,5.11157941818237,13.5156,712.3105,0.9995,1309.53483667341,969.993870857222,2465.09785085264,0,"non-treatment",1125.91818181818,917.034090909091,22.6760859326528
"2","A002_2018",1,1,0,0,"A002","2018-04-10","2018-01-28",2018,-37.98823298,141.569277,"glenelg","matt",72,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.0758638381958,0.198308944702148,137.525497436523,5.18138933181763,13.5156,712.3105,0.9995,1257.20558650625,671.178009106146,2910.53776046908,0,"non-treatment",1151.15454545455,927.143939393939,24.0873519317477
"3","A003_2018",0,0,0,0,"A003","2018-04-10","2018-01-28",2018,-37.98838201,141.575664,"glenelg","matt",72,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,9.06353759765625,0.00070953369140625,130.003692626953,5.18138933181763,13.5484,704.2413,0.9993,1273.04530065943,657.999567974447,3260.12311970103,0,"non-treatment",1133.15,918.803846153846,23.2172721804284
"4","A005_2018",1,1,0,0,"A005","2018-04-10","2018-01-29",2018,-37.98852802,141.586187,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.73298358917236,0.0349235534667969,130,5.18138933181763,13.5366,702.1619,0.9992,1355.6689669807,1032.95938581555,3792.9658608854,0,"non-treatment",1146.45106382979,924.404255319149,23.9387329369277
"5","A006_2018",1,0,0,0,"A006","2018-04-10","2018-01-29",2018,-37.98833096,141.591887,"glenelg","matt",71,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,6.87809658050537,0.237024307250977,137.21760559082,5.18138933181763,13.5366,702.1619,0.9992,1551.46266333753,1372.75006763747,4118.12546197072,0,"non-treatment",1139.58461538462,928.376923076923,22.6067134499569
"6","A007_2018",0,0,0,1,"A007","2018-04-12","2018-01-28",2018,-37.99283599,141.563893,"glenelg","matt",74,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.69912242889404,0.118112564086914,136.887603759766,5.11157941818237,13.5156,712.3105,0.9995,1619.35607882085,1329.01401933162,2253.06101228557,0,"non-treatment",1140.93684210526,926.515789473684,23.0050908385557
"7","A008_2018",1,1,0,0,"A008","2018-04-12","2018-01-28",2018,-37.99293397,141.568868,"glenelg","matt",74,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,7.28114795684814,0.0690155029296875,137.850997924805,5.11157941818237,13.5156,712.3105,0.9995,1776.41832462662,1188.15294234579,2650.86246098261,0,"non-treatment",1122.38133333333,915.136,22.535295360713
"8","A009_2018",1,1,0,0,"A009","2018-04-10","2018-01-27",2018,-37.99211598,141.575697,"glenelg","matt",73,"annya","Lowland Forest","Lowland Forests","Lowland Forests","Tall Mixed Forest","Tall Mixed Forest",79,8.92201709747314,0.110086441040039,132.235504150391,5.18138933181763,13.5484,704.2413,0.9993,1687.4686229955,1072.2834169817,3245.97478950225,0,"non-treatment",1168.76666666667,931.256666666666,25.4907076665243
"9","a01_2013",0,0,0,0,"a01","2013-11-09","2013-11-06",2013,-37.9822949772723,141.505222628494,"glenelg","glenelg_ark",36,"annya","Damp Sands Herb-rich Woodland","Herb-rich Woodlands","Herb-rich Woodlands","Forby Forest","Forby Forest",74,7.33782720565796,0.0331430435180664,90.0882568359375,5.16216564178467,13.7949,694.622,0.999,166.915350060468,244.908000995596,393.371724937816,0,"non-treatment",1445.25,1373.725,5.2063103468005
"10","a01_2014",1,0,0,0,"a01","2014-12-12","2014-11-05",2014,-37.9822949772723,141.505222628494,"glenelg","glenelg_ark",36,"annya","Damp Sands Herb-rich Woodland","Herb-rich Woodlands","Herb-rich Woodlands","Forby Forest","Forby Forest",75,7.33782720565796,0.0331430435180664,90.0882568359375,5.16216564178467,13.7949,694.622,0.999,166.915350060468,244.908000995596,393.371724937816,0,"non-treatment",1426.77857142857,1350.2130952381,5.66460643659861
