"","station","fox","x","y","date_start","date_end","survey_duration","region"
"1","LGNP001",0,497637,5793625,2021-03-29,2021-05-10,42,"glenelg"
"2","LGNP002",0,497496,5792714,2021-03-29,2021-05-10,42,"glenelg"
"3","LGNP003",0,497675,5792162,2021-03-29,2021-05-10,42,"glenelg"
"4","LGNP004",0,498845,5794329,2021-03-29,2021-05-10,42,"glenelg"
"5","LGNP005",0,498700,5793500,2021-03-29,2021-05-10,42,"glenelg"
"6","LGNP006",0,498935,5792736,2021-03-29,2021-05-10,42,"glenelg"
"7","LGNP007",0,499441,5792234,2021-03-29,2021-05-10,42,"glenelg"
"8","LGNP008",0,498893,5791733,2021-03-29,2021-05-10,42,"glenelg"
"9","LGNP009",0,500439,5795005,2021-03-29,2021-05-10,42,"glenelg"
"10","LGNP010",0,500505,5792894,2021-03-29,2021-05-10,42,"glenelg"
"11","LGNP011",0,501254,5793961,2021-03-29,2021-05-10,42,"glenelg"
"12","LGNP012",1,500912,5791807,2021-03-29,2021-05-10,42,"glenelg"
"13","LGNP013",0,501912,5794719,2021-03-29,2021-05-10,42,"glenelg"
"14","LGNP014",0,501948,5793122,2021-03-29,2021-05-10,42,"glenelg"
"15","LGNP015",0,501555,5791234,2021-03-29,2021-05-10,42,"glenelg"
"16","LGNP016",1,502967,5794692,2021-03-29,2021-05-10,42,"glenelg"
"17","LGNP017",0,502846,5792941,2021-03-29,2021-05-10,42,"glenelg"
"18","LGNP018",1,502503,5791225,2021-03-29,2021-05-10,42,"glenelg"
"19","LGNP019",0,502448,5790775,2021-03-29,2021-05-10,42,"glenelg"
"20","LGNP020",0,503906,5794309,2021-03-29,2021-05-10,42,"glenelg"
"21","LGNP021",0,503644,5791361,2021-03-29,2021-05-10,42,"glenelg"
"22","LGNP022",0,503589,5790254,2021-03-29,2021-05-10,42,"glenelg"
"23","LGNP023",1,504233,5791435,2021-03-29,2021-05-10,42,"glenelg"
"24","LGNP024",0,505251,5793648,2021-03-29,2021-05-10,42,"glenelg"
"25","LGNP025",0,505188,5791934,2021-03-29,2021-05-10,42,"glenelg"
"26","LGNP026",0,504689,5790999,2021-03-29,2021-05-10,42,"glenelg"
"27","LGNP027",0,505786,5792543,2021-03-29,2021-05-10,42,"glenelg"
"28","LGNP028",0,506160,5791537,2021-03-25,2021-05-10,46,"glenelg"
"29","LGNP029",0,505795,5791054,2021-03-25,2021-05-10,46,"glenelg"
"30","LGNP030",0,507124,5792954,2021-03-25,2021-05-10,46,"glenelg"
"31","LGNP031",1,506712,5791219,2021-03-25,2021-05-10,46,"glenelg"
"32","LGNP032",0,506353,5790322,2021-03-29,2021-05-10,42,"glenelg"
"33","LGNP033",0,507720,5791806,2021-03-25,2021-05-10,46,"glenelg"
"34","LGNP034",0,507257,5790547,2021-03-29,2021-05-10,42,"glenelg"
"35","LGNP035",1,508161,5791551,2021-03-25,2021-05-10,46,"glenelg"
"36","LGNP036",0,508455,5790720,2021-03-29,2021-05-10,42,"glenelg"
"37","LGNP037",1,509460,5790404,2021-03-25,2021-05-10,46,"glenelg"
"38","LGNP038",0,510682,5790221,2021-03-25,2021-05-10,46,"glenelg"
"39","LGNP039",1,510598,5789402,2021-03-25,2021-05-10,46,"glenelg"
"40","LGNP040",0,510151,5788434,2021-03-25,2021-05-10,46,"glenelg"
"41","LGNP041",0,509953,5787958,2021-03-25,2021-05-10,46,"glenelg"
"42","LGNP042",0,510398,5787114,2021-03-26,2021-05-12,47,"glenelg"
"43","LGNP043",0,512281,5790480,2021-03-25,2021-05-10,46,"glenelg"
"44","LGNP044",0,511843,5789974,2021-03-25,2021-05-10,46,"glenelg"
"45","LGNP045",0,511373,5787210,2021-03-25,2021-05-12,48,"glenelg"
"46","LGNP046",0,512874,5790331,2021-03-25,2021-05-12,48,"glenelg"
"47","LGNP047",0,512527,5789268,2021-03-25,2021-05-12,48,"glenelg"
"48","LGNP048",0,512019,5786854,2021-03-26,2021-05-10,45,"glenelg"
"49","LGNP049",0,513590,5789714,2021-03-25,2021-05-10,46,"glenelg"
"50","LGNP050",0,513170,5788607,2021-03-25,2021-05-12,48,"glenelg"
"51","LGNP051",0,513087,5787329,2021-03-25,2021-05-12,48,"glenelg"
"52","LGNP052",1,513937,5788778,2021-03-26,2021-05-10,45,"glenelg"
"53","LGNP053",0,513552,5787703,2021-03-25,2021-05-12,48,"glenelg"
"54","LGNP054",0,514769,5788717,2021-03-26,2021-05-12,47,"glenelg"
"55","LGNP055",0,514576,5788265,2021-03-26,2021-05-10,45,"glenelg"
"56","LGNP056",0,515572,5787633,2021-03-26,2021-05-10,45,"glenelg"
"57","LGNP057",0,516802,5788215,2021-03-26,2021-05-12,47,"glenelg"
"58","LGNP058",0,517485,5787249,2021-03-26,2021-05-12,47,"glenelg"
"59","LGNP059",1,518244,5787911,2021-03-26,2021-05-12,47,"glenelg"
"60","LGNP060",0,519880,5787113,2021-03-26,2021-05-12,47,"glenelg"
"61","LGNP061",1,521554,5789557,2021-03-26,2021-05-12,47,"glenelg"
"62","LGNP062",0,521496,5787294,2021-03-26,2021-05-12,47,"glenelg"
"63","LGNP063",0,520774,5786597,2021-03-26,2021-05-12,47,"glenelg"
"64","LGNP064",0,522513,5788325,2021-03-26,2021-05-12,47,"glenelg"
"65","LGNP065",1,510229,5793196,2021-03-30,2021-05-14,45,"glenelg"
"66","LGNP066",1,510147,5792476,2021-03-31,2021-05-14,44,"glenelg"
"67","LGNP067",1,510744,5792828,2021-03-31,2021-05-14,44,"glenelg"
"68","LGNP068",0,511450,5792683,2021-03-31,2021-05-12,42,"glenelg"
"69","LGNP069",0,511929,5792155,2021-03-31,2021-05-12,42,"glenelg"
"70","LGNP070",1,512994,5792630,2021-03-30,2021-05-12,43,"glenelg"
"71","LGNP071",0,512561,5791289,2021-04-01,2021-05-12,41,"glenelg"
"72","LGNP072",1,512369,5791598,2021-04-01,2021-05-12,41,"glenelg"
"73","LGNP073",1,513708,5792453,2021-03-30,2021-05-12,43,"glenelg"
"74","LGNP074",1,513311,5790903,2021-04-01,2021-05-14,43,"glenelg"
"75","LGNP075",1,514434,5792242,2021-03-30,2021-05-12,43,"glenelg"
"76","LGNP076",1,514324,5791986,2021-03-30,2021-05-12,43,"glenelg"
"77","LGNP077",1,513913,5790809,2021-04-01,2021-05-14,43,"glenelg"
"78","LGNP078",1,514260,5790008,2021-04-01,2021-05-14,43,"glenelg"
"79","LGNP079",1,515312,5793402,2021-03-30,2021-05-12,43,"glenelg"
"80","LGNP080",0,515242,5792707,2021-03-30,2021-05-12,43,"glenelg"
"81","LGNP081",1,516047,5793377,2021-03-30,2021-05-12,43,"glenelg"
"82","LGNP082",0,516095,5791991,2021-03-31,2021-05-13,43,"glenelg"
"83","LGNP083",0,515820,5791310,2021-03-31,2021-05-13,43,"glenelg"
"84","LGNP084",1,515654,5790618,2021-03-31,2021-05-13,43,"glenelg"
"85","LGNP085",1,516830,5792858,2021-03-30,2021-05-12,43,"glenelg"
"86","LGNP086",1,517437,5792483,2021-03-30,2021-05-12,43,"glenelg"
"87","LGNP087",1,517061,5792207,2021-03-31,2021-05-12,42,"glenelg"
"88","LGNP088",0,516692,5790669,2021-03-31,2021-05-12,42,"glenelg"
"89","LGNP089",0,516272,5790130,2021-03-31,2021-05-12,42,"glenelg"
"90","LGNP090",1,516037,5788950,2021-03-30,2021-05-12,43,"glenelg"
"91","LGNP091",0,517676,5791862,2021-03-31,2021-05-13,43,"glenelg"
"92","LGNP092",0,517334,5789592,2021-03-31,2021-05-13,43,"glenelg"
"93","LGNP093",0,516725,5789602,2021-03-31,2021-05-13,43,"glenelg"
"94","LGNP094",1,518289,5791468,2021-03-31,2021-05-13,43,"glenelg"
"95","LGNP095",0,517357,5789259,2021-03-31,2021-05-13,43,"glenelg"
"96","LGNP096",0,518901,5790160,2021-03-31,2021-05-13,43,"glenelg"
"97","LGNP097",1,517990,5789233,2021-03-31,2021-05-13,43,"glenelg"
"98","LGNP098",1,517364,5788330,2021-03-30,2021-05-12,43,"glenelg"
"99","LGNP099",1,519213,5788456,2021-03-30,2021-05-12,43,"glenelg"
"100","LGNP100",1,519586,5787615,2021-03-30,2021-05-12,43,"glenelg"
"101","LGNP101",1,521011,5791889,2021-03-30,2021-05-12,43,"glenelg"
"102","LGNP102",1,520984,5791171,2021-03-30,2021-05-12,43,"glenelg"
"103","LGNP103",1,520631,5788730,2021-03-30,2021-05-12,43,"glenelg"
