"","region","station_year","station","fox","cat","potoroo_ln","bandicoot_sb","date_start","date_end","survey_duration","year","latitude","longitude","XGROUPNAME","foxbaits","x","y"
"1","glenelg","A001x2018","A001",0,1,0,0,2018-01-30,2018-04-12,72,2018,-37.988611,141.56355,"Lowland Forests",0,549486.030608236,5795298.81548941
"2","glenelg","A002x2018","A002",1,1,0,0,2018-01-28,2018-04-10,72,2018,-37.98823298,141.569277,"Lowland Forests",0,549989.186183154,5795337.6979048
"3","glenelg","A003x2018","A003",0,0,0,0,2018-01-28,2018-04-10,72,2018,-37.98838201,141.575664,"Lowland Forests",0,550549.941904309,5795317.71328668
"4","glenelg","A005x2018","A005",1,1,0,0,2018-01-29,2018-04-10,71,2018,-37.98852802,141.586187,"Lowland Forests",0,551473.888536735,5795295.74617151
"5","glenelg","A006x2018","A006",1,0,0,0,2018-01-29,2018-04-10,71,2018,-37.98833096,141.591887,"Lowland Forests",0,551974.556760749,5795314.44328511
"6","glenelg","A007x2018","A007",0,0,0,1,2018-01-28,2018-04-12,74,2018,-37.99283599,141.563893,"Lowland Forests",0,549513.310187753,5794829.85684808
"7","glenelg","A008x2018","A008",1,1,0,0,2018-01-28,2018-04-12,74,2018,-37.99293397,141.568868,"Lowland Forests",0,549950.08316306,5794816.32740542
"8","glenelg","A009x2018","A009",1,1,0,0,2018-01-27,2018-04-10,73,2018,-37.99211598,141.575697,"Lowland Forests",0,550550.277324274,5794903.39920287
"9","glenelg","A010x2018","A010",0,1,0,0,2018-01-31,2018-04-10,69,2018,-37.99154299,141.580432,"Lowland Forests",0,550966.443809357,5794964.39216008
"10","glenelg","A011x2018","A011",0,0,0,1,2018-01-29,2018-04-10,71,2018,-37.99126497,141.586697,"Lowland Forests",0,551516.758653857,5794991.79036106
"11","glenelg","A012x2018","A012",0,0,0,0,2018-01-29,2018-04-10,71,2018,-37.99307504,141.591952,"Lowland Forests",0,551976.91704236,5794788.03541195
"12","glenelg","A013x2018","A013",1,0,0,0,2018-01-29,2018-04-10,71,2018,-37.99291302,141.597389,"Lowland Forests",0,552454.437673489,5794802.96186325
"13","glenelg","A014x2018","A014",1,1,0,1,2018-01-29,2018-04-10,71,2018,-37.99309499,141.603625,"Lowland Forests",0,553001.870915719,5794779.23885807
"14","glenelg","A015x2018","A015",0,0,0,0,2018-01-29,2018-04-10,71,2018,-37.99295803,141.609231,"Lowland Forests",0,553494.215099295,5794791.22782503
"15","glenelg","A017x2018","A017",1,0,0,0,2018-01-29,2018-04-10,71,2018,-37.99265401,141.621223,"Herb-rich Woodlands",0,554547.421328059,5794817.99968634
"16","glenelg","A018x2018","A018",1,0,0,1,2018-01-28,2018-04-12,74,2018,-37.99734897,141.564267,"Lowland Forests",0,549543.114164944,5794328.92779286
"17","glenelg","A019x2018","A019",0,0,0,0,2018-01-28,2018-04-12,74,2018,-37.99783898,141.56919,"Lowland Forests",0,549975.028625546,5794271.92735528
"18","glenelg","A020x2018","A020",0,0,0,0,2018-01-27,2018-04-10,73,2018,-37.99747101,141.575091,"Lowland Forests",0,550493.394469664,5794309.56964977
"19","glenelg","A022x2018","A022",1,1,0,1,2018-01-27,2018-04-10,73,2018,-37.99732902,141.586598,"Lowland Forests",0,551503.825015644,5794319.01822787
"20","glenelg","A023x2018","A023",0,0,0,0,2018-01-29,2018-04-10,71,2018,-37.99733698,141.59299,"Lowland Forests",0,552065.047535944,5794314.57832627
"21","glenelg","A024x2018","A024",0,0,0,0,2018-01-29,2018-04-10,71,2018,-37.99741502,141.59781,"Lowland Forests",0,552488.195928593,5794303.2120184
"22","glenelg","A025x2018","A025",0,0,0,0,2018-01-29,2018-04-10,71,2018,-37.997656,141.603846,"Lowland Forests",0,553017.992845061,5794273.05296979
"23","glenelg","A026x2018","A026",0,0,0,1,2018-01-29,2018-04-10,71,2018,-37.997196,141.609323,"Lowland Forests",0,553499.214869782,5794320.95725493
"24","glenelg","A027x2018","A027",1,1,0,1,2018-01-29,2018-04-10,71,2018,-37.99689299,141.615239,"Lowland Forests",0,554018.873147396,5794351.15993402
"25","glenelg","A028x2018","A028",1,0,0,1,2018-01-29,2018-04-10,71,2018,-37.99695401,141.62061,"Lowland Forests",0,554490.414051392,5794341.25840424
"26","glenelg","A029x2018","A029",0,0,1,1,2018-01-29,2018-04-10,71,2018,-37.997627,141.626208,"Lowland Forests",0,554981.428504315,5794263.29526356
"27","glenelg","A031x2018","A031",1,0,0,0,2018-01-29,2018-04-10,71,2018,-37.99726398,141.637854,"Lowland Forests",0,556004.240411886,5794296.62933947
"28","glenelg","A032x2018","A032",1,0,0,1,2018-01-28,2018-04-12,74,2018,-38.00229496,141.564029,"Lowland Forests",0,549518.891364504,5793780.28011134
"29","glenelg","A033x2018","A033",1,0,0,0,2018-01-27,2018-04-12,75,2018,-38.00154604,141.56938,"Lowland Forests",0,549989.194272144,5793860.51435466
"30","glenelg","A034x2018","A034",1,0,0,1,2018-01-27,2018-04-10,73,2018,-38.00184301,141.575451,"Lowland Forests",0,550522.003405882,5793824.28582804
"31","glenelg","A035x2018","A035",1,1,0,0,2018-01-27,2018-04-10,73,2018,-38.00229597,141.581012,"Lowland Forests",0,551009.924414473,5793770.99455604
"32","glenelg","A036x2018","A036",0,0,0,0,2018-01-27,2018-04-10,73,2018,-38.00185299,141.586463,"Lowland Forests",0,551488.808555828,5793817.1426636
"33","glenelg","A037x2018","A037",0,0,0,0,2018-01-27,2018-04-10,73,2018,-38.00169096,141.591965,"Lowland Forests",0,551971.97790608,5793832.06187091
"34","glenelg","A038x2018","A038",1,0,0,1,2018-01-29,2018-04-10,71,2018,-38.00143104,141.597566,"Lowland Forests",0,552463.911115024,5793857.75795883
"35","glenelg","A039x2018","A039",1,0,0,0,2018-01-29,2018-04-10,71,2018,-38.00203001,141.60358,"Lowland Forests",0,552991.490019921,5793787.89240441
"36","glenelg","A040x2018","A040",1,0,0,0,2018-01-29,2018-04-10,71,2018,-38.00168401,141.609198,"Lowland Forests",0,553484.979885651,5793823.06823401
"37","glenelg","A041x2018","A041",0,0,0,1,2018-01-29,2018-04-10,71,2018,-38.00205097,141.615336,"Lowland Forests",0,554023.605850643,5793778.8070091
"38","glenelg","A042x2018","A042",1,1,0,0,2018-01-29,2018-04-10,71,2018,-38.00190596,141.620575,"Lowland Forests",0,554483.677078155,5793791.84192669
"39","glenelg","A043x2018","A043",1,1,0,1,2018-01-29,2018-04-10,71,2018,-38.00161402,141.62641,"Lowland Forests",0,554996.18668823,5793820.80131454
"40","glenelg","A044x2018","A044",1,0,0,0,2018-01-29,2018-04-10,71,2018,-38.00173103,141.631871,"Lowland Forests",0,555475.55629872,5793804.57708109
"41","glenelg","A045x2018","A045",1,0,0,0,2018-01-29,2018-04-10,71,2018,-38.00150204,141.637812,"Lowland Forests",0,555997.329932358,5793826.42597487
"42","glenelg","A046x2018","A046",1,0,0,0,2018-01-28,2018-04-12,74,2018,-38.006501,141.564629,"Lowland Forests",0,549568.737002199,5793313.28588911
